PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201612304,01/01/2016 12:00:00 AM,2333,M,19,HISPANIC OR LATINO,8900 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126924,10103871,EDWARD,4
201621229,01/02/2016 12:00:00 AM,2211,M,23,HISPANIC OR LATINO,6001 MIDDLE FISKVILLE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124396,10090821,IDA,4
201630022,01/03/2016 12:00:00 AM,18,M,40,ASIAN,8900 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126924,10103871,EDWARD,4
201630608,01/03/2016 12:00:00 AM,1204,M,30,WHITE,907 W SLAUGHTER LN,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3094667,10035916,FRANK,5
201611002,01/01/2016 12:00:00 AM,1943,M,21,HISPANIC OR LATINO,2700 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114287,10056702,DAVID,9
201611002,01/01/2016 12:00:00 AM,1943,M,20,HISPANIC OR LATINO,2700 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114287,10056702,DAVID,9
201611002,01/01/2016 12:00:00 AM,1943,M,21,WHITE,2700 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114287,10056702,DAVID,9
201610934,01/01/2016 12:00:00 AM,550,M,25,HISPANIC OR LATINO,4509 E ST ELMO RD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116165,10048034,FRANK,2
201611178,01/01/2016 12:00:00 AM,616,M,28,WHITE,E 7TH ST / CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114410,10071083,GEORGE,9
201630111,01/03/2016 12:00:00 AM,155,M,29,WHITE,4305 DAVIS LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3079838,10044968,DAVID,8
201620181,01/02/2016 12:00:00 AM,506,M,22,WHITE,12000 BLOCK N IH 35 NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3135485,10115118,EDWARD,7
201620194,01/02/2016 12:00:00 AM,328,M,21,ASIAN,W 15TH ST / LAVACA ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114509,10074228,BAKER,1
201612468,01/01/2016 12:00:00 AM,2232,F,24,WHITE,100 BLOCK S CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113452,10067955,DAVID,9
201640425,01/04/2016 12:00:00 AM,840,M,31,WHITE,3700 PRESIDENTIAL BLVD,NO = 2,,,,,3139860,10048157,APT,2
201611758,01/01/2016 12:00:00 AM,1535,M,24,WHITE,2100 NUECES ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3113705,10076603,BAKER,9
201630133,01/03/2016 12:00:00 AM,147,F,34,WHITE,9600 BLOCK N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128270,10106589,EDWARD,4
201612235,01/01/2016 12:00:00 AM,2135,M,20,HISPANIC OR LATINO,3828 N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3121335,10080858,BAKER,9
201612271,01/01/2016 12:00:00 AM,2236,M,17,HISPANIC OR LATINO,1100 VARGAS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129458,10057816,HENR,3
201612271,01/01/2016 12:00:00 AM,2236,M,19,HISPANIC OR LATINO,1100 VARGAS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129458,10057816,HENR,3
201631491,01/04/2016 12:00:00 AM,304,M,23,HISPANIC OR LATINO,BURNET RD / RESEARCH BLVD SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3118626,10109212,ADAM PD,7
201640873,01/04/2016 12:00:00 AM,1357,M,27,WHITE,1200 N LAMAR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3111488,10073997,BAKER,9
201640152,01/04/2016 12:00:00 AM,243,F,34,WHITE,4000 S US 183 HWY SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133152,10043885,HENR,2
201640014,01/04/2016 12:00:00 AM,106,F,42,WHITE,6800 MC NEIL DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107553,10132774,ADAM PD,6
201631487,01/03/2016 12:00:00 AM,2314,M,22,HISPANIC OR LATINO,300 W POWELL LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125398,10100302,EDWARD,4
201640100,01/04/2016 12:00:00 AM,148,F,19,BLACK,11600 RESEARCH BLVD SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112203,10123811,ADAM PD,6
201631496,01/03/2016 12:00:00 AM,2330,M,24,HISPANIC OR LATINO,600 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110739,10072031,GEORGE,9
201612541,01/01/2016 12:00:00 AM,2319,M,25,HISPANIC OR LATINO,11900 STONEHOLLOW DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125173,10119665,EDWARD,7
201630048,01/03/2016 12:00:00 AM,37,M,23,BLACK,E 7TH ST / SAN JACINTO BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115184,10070857,GEORGE,9
201630048,01/03/2016 12:00:00 AM,37,M,24,BLACK,E 7TH ST / SAN JACINTO BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115184,10070857,GEORGE,9
201650056,01/05/2016 12:00:00 AM,555,M,23,HISPANIC OR LATINO,30 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116526,10064401,OOC,9
201612091,01/01/2016 12:00:00 AM,1927,M,43,WHITE,12600 LAMPLIGHT VILLAGE AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CONSENT,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128064,10125716,ADAM PD,7
201650049,01/05/2016 12:00:00 AM,35,F,26,WHITE,9900 N IH 35 SVRD SB,NO = 2,,,,,3131486,10105837,EDWARD,4
201612525,01/02/2016 12:00:00 AM,48,M,35,HISPANIC OR LATINO,TILLERY ST / GONZALES ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126180,10067678,CHARLIE,3
201641729,01/04/2016 12:00:00 AM,2325,F,31,BLACK,710 E 7TH ST,NO = 2,,,,,3116755,10070425,GEORGE,9
201641729,01/04/2016 12:00:00 AM,2325,M,36,BLACK,710 E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116755,10070425,GEORGE,9
201641729,01/04/2016 12:00:00 AM,2325,F,31,BLACK,710 E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116755,10070425,GEORGE,9
201650213,01/05/2016 12:00:00 AM,517,M,55,BLACK,CAMERON RD / E ANDERSON LN SVRD WB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131626,10094725,IDA,4
201650213,01/05/2016 12:00:00 AM,517,F,35,BLACK,CAMERON RD / E ANDERSON LN SVRD WB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131626,10094725,IDA,4
201641791,01/04/2016 12:00:00 AM,2313,M,19,HISPANIC OR LATINO,N LAMAR BLVD / FERGUSON DR,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130422,10111011,EDWARD,4
